insee_c,libgeo,dep,reg,loyer_petit,revenu_menage_proxy,revenu_menage_d1,effort_median_petit,effort_d1_petit,fiable_loyer_petit,loyer_familial,effort_median_familial,effort_d1_familial,fiable_loyer_familial,prix_m2_tous,prix_m2_appart,n_ventes_tous,surface_financable,categorie_surface,fiable_prix,tension_2025,echec_loc_med,echec_loc_d1,echec_achat,echec_social,n_legs_dispo,triple_peine_median,triple_peine_d1
76516,Quièvrecourt,76,28,422.383,36400.9,,13.9244,,True,636.229,20.974,,True,2431.86,,8,74.905,Correct,False,4.74,False,,,False,2,,
76517,Quincampoix,76,28,495.226,51069.6,30228.7,11.6365,19.6592,True,665.839,15.6454,26.4321,True,2578.63,16218.9,50,99.1083,Confortable,True,4.74,False,False,False,False,3,0,0
76518,Raffetot,76,28,449.397,40233.4,,13.4037,,True,640.743,19.1108,,True,1318.75,,11,152.672,Confortable,True,4.74,False,,False,False,3,0,
76519,Rainfreville,76,28,460.112,,,,,True,653.203,,,True,1383.56,,1,,,False,4.74,,,,False,1,,
76520,Réalcamp,76,28,422.383,33608.2,,15.0814,,True,603.284,21.5406,,True,1326.27,,4,126.809,Confortable,False,4.74,False,,,False,2,,
76521,Rebets,76,28,457.45,41527.7,,13.2187,,True,665.839,19.2403,,True,1729.73,,1,120.143,Confortable,False,4.74,False,,,False,2,,
76522,La Remuée,76,28,514.241,47694.3,,12.9384,,True,661.259,16.6374,,True,2536.99,,22,94.0771,Confortable,True,4.74,False,,False,False,3,0,
76523,Rétonval,76,28,445.163,31068.3,,17.1943,,True,618.215,23.8783,,True,1813.36,,4,85.7375,Correct,False,4.74,False,,,False,2,,
76524,Reuville,76,28,485.818,35882.1,,16.2471,,True,653.203,21.845,,True,1240.51,,2,144.749,Confortable,False,4.74,False,,,False,2,,
76526,Ricarville-du-Val,76,28,422.383,37871.7,,13.3836,,True,636.229,20.1595,,True,1355.56,,4,139.809,Confortable,False,4.74,False,,,False,2,,
76527,Richemont,76,28,445.163,30562.7,,17.4787,,True,603.284,23.6871,,True,843.373,,3,181.346,Confortable,False,4.74,False,,,False,2,,
76528,Rieux,76,28,432.835,34873.3,,14.894,,True,566.379,19.4893,,True,1425.29,,9,122.441,Confortable,False,4.74,False,,,False,2,,
76529,Riville,76,28,449.397,39952.8,,13.4978,,True,661.259,19.8612,,True,1809.03,,4,110.52,Confortable,False,4.74,False,,,False,2,,
76530,Robertot,76,28,485.818,34168.8,,17.0618,,True,640.743,22.5027,,True,2000,,5,85.4943,Correct,False,4.74,False,,,False,2,,
76531,Rocquefort,76,28,513.969,43915.1,,14.0444,,True,653.203,17.8491,,True,2084.62,,8,105.421,Confortable,False,4.74,False,,,False,2,,
76532,Rocquemont,76,28,457.45,42857.4,,12.8085,,True,665.839,18.6434,,True,2906.98,,9,73.7771,Correct,False,4.74,False,,,False,2,,
76533,Rogerville,76,28,514.241,45579.5,,13.5387,,True,756.894,19.9272,,True,2808.22,,19,81.2224,Correct,True,4.74,False,,False,False,3,0,
